sim_tool;weather;wr;module;inv;installed_p;summe;jan;feb;mrz;apr;mai;jun;jul;aug;sep;okt;nov;dez
polysun;standard;wr1;schott_105;dlx;3.15;3111.0;80.4;131.0;248.0;334.0;435.0;437.0;436.0;396.0;285.0;182.0;87.8;57.6
polysun;standard;wr2;aleo_285;dlx;3.135;2825.0;70.2;117.0;229.0;307.0;400.0;399.0;397.0;359.0;259.0;163.0;75.8;48.2
polysun;standard;wr3;aleo_240;dlx;3.36;3051.0;75.2;127.0;248.0;333.0;432.0;431.0;428.0;388.0;280.0;177.0;81.1;50.9
polysun;standard;wr4;aleo_245;sma;3.185;2924.0;72.3;122.0;238.0;320.0;414.0;413.0;409.0;371.0;269.0;170.0;77.8;48.8
polysun;standard;wr5;schott_105;sma;3.15;3170.0;80.8;133.0;253.0;341.0;444.0;446.0;445.0;404.0;291.0;186.0;88.3;57.1
polysun;standard;total;None;None;15.98;15081.0;378.9;630.0;1216.0;1635.0;2125.0;2126.0;2115.0;1918.0;1384.0;878.0;410.8;262.6
polysun;htw_wetter;wr1;schott_105;dlx;3.15;3228.0;45.9;154.0;237.0;380.0;428.0;446.0;464.0;456.0;292.0;182.0;76.1;66.6
polysun;htw_wetter;wr2;aleo_285;dlx;3.135;2933.0;36.4;140.0;217.0;354.0;394.0;407.0;422.0;414.0;265.0;164.0;63.8;55.5
polysun;htw_wetter;wr3;aleo_240;dlx;3.36;3167.0;37.7;152.0;234.0;383.0;427.0;440.0;456.0;447.0;287.0;177.0;67.7;58.8
polysun;htw_wetter;wr4;aleo_245;sma;3.185;3032.0;35.9;146.0;225.0;367.0;409.0;421.0;436.0;427.0;275.0;169.0;64.7;56.3
polysun;htw_wetter;wr5;schott_105;sma;3.15;3286.0;44.6;157.0;241.0;388.0;437.0;454.0;474.0;466.0;299.0;185.0;75.7;66.2
polysun;htw_wetter;total;None;None;15.98;15646.0;200.5;749.0;1154.0;1872.0;2095.0;2168.0;2252.0;2210.0;1418.0;877.0;348.0;303.4
polysun;openfred;wr1;schott_105;dlx;3.15;2902.0;59.3;151.0;207.0;344.0;415.0;399.0;413.0;389.0;257.0;155.0;63.0;50.4
polysun;openfred;wr2;aleo_285;dlx;3.135;2629.0;48.9;137.0;188.0;319.0;383.0;365.0;373.0;352.0;232.0;138.0;52.4;40.8
polysun;openfred;wr3;aleo_240;dlx;3.36;2838.0;51.4;149.0;203.0;346.0;415.0;394.0;403.0;380.0;251.0;149.0;55.4;42.7
polysun;openfred;wr4;aleo_245;sma;3.185;2719.0;49.3;143.0;195.0;332.0;397.0;377.0;386.0;363.0;240.0;143.0;53.0;40.8
polysun;openfred;wr5;schott_105;sma;3.15;2953.0;58.6;153.0;211.0;351.0;424.0;407.0;421.0;397.0;262.0;157.0;62.4;49.4
polysun;openfred;total;None;None;15.98;14041.0;267.5;733.0;1004.0;1692.0;2034.0;1942.0;1996.0;1881.0;1242.0;742.0;286.2;224.1
